//Name,ID,DataType,Length,Unit,Remark,SystemID,BindObjType,BindObjTypeSeq,BindObjID
SYS_LICENSE_CODE,1,ASCII,16,,License code(Formal; Evaluation; NoLicense),1,,0,
SYS_LICENSE_STATUS,2,UINT_1,255,,License status(0:Unauthorized; 1:Authorized; 2:Evaluation; 3:Evaluation Expiring; 4:Trial; 5:Trial End),2,,0,
SYS_CLOCK,3,ASCII,16,,System Clock,3,,0,
SYS_SECS_COMM_MODE,4,UINT_1,255,,SECS Communication Mode(0:HSMS Mode; 1:SECSI Mode) (Set by AP),4,,0,
SYS_PREVIOUS_CONTROL_STATE,5,UINT_1,255,,1:EquipmentOffLine; 2:AttemptOnLine; 3:HostOffLine; 4:OnlineLocal; 5:OnlineRemote,5,,0,
SYS_CONTROL_STATE,6,UINT_1,255,,1:EquipmentOffLine; 2:AttemptOnLine; 3:HostOffLine; 4:OnlineLocal; 5:OnlineRemote,6,,0,
SYS_PREVIOUS_PROCESS_STATE,7,UINT_1,255,,Previous process state(Set by AP),7,,0,
SYS_PROCESS_STATE,8,UINT_1,255,,Process state(Set by AP),8,,0,
SYS_MDLN,9,ASCII,16,,Equipment Model Type (Set by AP),9,,0,
SYS_SOFTREV,10,ASCII,16,,Equipment Software Revision (Set by AP),10,,0,
SYS_ALARM_ENABLED,11,LIST,16,,Current Enable Alarms,11,,0,
SYS_ALARM_SET,12,LIST,16,,Current Set Alarms,12,,0,
SYS_EVENT_ENABLED,13,LIST,16,,Current Enable Events,13,,0,
SYS_PP_EXEC_NAME,14,ASCII,16,,Currently selected process program(Set by AP),14,,0,
SYS_PP_FORMAT,15,UINT_1,255,,1:Unformatted process programs; 2:Formatted process programs; 3:Both unformatted and formatted process programs (Set by AP),15,,0,
SYS_SPOOL_STATE,16,UINT_1,255,,1:Inactive; 2:Active,16,,0,
SYS_SPOOL_LOAD_SUBSTATE,17,UINT_1,255,,0:Not Full; 1:Full,17,,0,
SYS_SPOOL_UNLOAD_SUBSTATE,18,UINT_1,255,,0:No Spool Out; 1:transmit; 2:Purge,18,,0,
SYS_SPOOL_START_TIME,19,ASCII,16,,Spooling Start Time,19,,0,
SYS_SPOOL_FULL_TIME,20,ASCII,16,,Spooling Each Full Time,20,,0,
SYS_SPOOL_COUNT_ACTUAL,21,UINT_4,,,Spooling Current Actual Message Count,21,,0,
SYS_SPOOL_COUNT_TOTAL,22,UINT_4,,,Spooling accumulation message count. Spooling change Inactive set zero,22,,0,
SYS_MAX_SPOOL_SIZE,23,UINT_4,,,Spooling Max Message Count,23,,0,
SYS_SOFTWARE_REVISION,24,ASCII,,,DIAGEM Software Revision,24,,0,
PJ_PRJOBSPACE,101,UINT_2,,,(E40-PM) Used to indicate the number of jobs that can currently be created for the processing resource.,101,,0,
CJ_QUEUEDCJOBS,201,LIST,,,(E94-CJM) This is an ordered list of control jobs currently in the Queue. The first job in the list is the job at the head of the Queue.,201,,0,
CJ_QUEUEAVAILABLESPACE,202,UINT_2,,,(E94-CJM) Indicates number of jobs which the Queue can accept. This value cannot be negative. When it is zero it indicates that the queue is full,202,,0,
GEM_EQP_SERIAL_NUM,25,ASCII,,,Text string describing the product serial number assigned by the manufacturer (Set by AP),25,,0,
GEM_E30_EQUIPMENT_SUPPLIER,26,ASCII,,,Supplier identification (Set by AP),26,,0,
GEM_E30_SUPPORTED_PPOPTIONS,27,LIST,,,Identify the process program management options supported by the equipment (Set by AP),27,,0,
CMS_CARRIERID1_1,100262,ASCII,,,(E87-CMS) [CARRIERLOC-1] Carrier ID of the Carrier at the Carrier location,925,CARRIERLOC,1,1
CMS_CARRIERID2_2,100264,ASCII,,,(E87-CMS) [CARRIERLOC-2] Carrier ID of the Carrier at the Carrier location,927,CARRIERLOC,2,2
CMS_OBJID1_1,100263,ASCII,,,(E87-CMS) [CARRIERLOC-1] Carrier Location ID (Identifier ID),926,CARRIERLOC,1,1
CMS_OBJID2_2,100265,ASCII,,,(E87-CMS) [CARRIERLOC-2] Carrier Location ID (Identifier ID),928,CARRIERLOC,2,2
CMS_ACCESSMODE1_1,2006,UINT_1,,,(E87-CMS) [LOADPORT-1] Access Mode,566,LOADPORT,1,1
CMS_PORTTRANSFERSTATE1_1,2008,UINT_1,,,(E87-CMS) [LOADPORT-1] Port Transfer State,567,LOADPORT,1,1
CMS_PORTSTATEINFO1_1,2028,LIST,,,(E87-CMS) [LOADPORT-1] Port State Info,568,LOADPORT,1,1
CMS_PORTASSOCIATIONSTATE1_1,2016,UINT_1,,,(E87-CMS) [LOADPORT-1] Port Association State,569,LOADPORT,1,1
CMS_PORTID1_1,2020,UINT_1,,,(E87-CMS) [LOADPORT-1] Port ID,570,LOADPORT,1,1
CMS_OBJID1_1,2026,UINT_1,,,(E87-CMS) [LOADPORT-1] Port ID (Identifier ID),571,LOADPORT,1,1
CMS_ACCESSMODE2_2,2007,UINT_1,,,(E87-CMS) [LOADPORT-2] Access Mode,919,LOADPORT,2,2
CMS_PORTTRANSFERSTATE2_2,2009,UINT_1,,,(E87-CMS) [LOADPORT-2] Port Transfer State,920,LOADPORT,2,2
CMS_PORTSTATEINFO2_2,2029,LIST,,,(E87-CMS) [LOADPORT-2] Port State Info,921,LOADPORT,2,2
CMS_PORTASSOCIATIONSTATE2_2,2017,UINT_1,,,(E87-CMS) [LOADPORT-2] Port Association State,922,LOADPORT,2,2
CMS_PORTID2_2,2021,UINT_1,,,(E87-CMS) [LOADPORT-2] Port ID,923,LOADPORT,2,2
CMS_OBJID2_2,2027,UINT_1,,,(E87-CMS) [LOADPORT-2] Port ID (Identifier ID),924,LOADPORT,2,2
STS_SUBSTID1_LOADPORT1.01,100100,ASCII,,,(E90-STS) [SUBSTLOC-1] Substrate ID of the substrate at the substrate location,757,SUBSTLOC,1,LOADPORT1.01
STS_SUBSTLOCSTATE1_LOADPORT1.01,100101,UINT_1,,,(E90-STS) [SUBSTLOC-1] State of Substrate Location,758,SUBSTLOC,1,LOADPORT1.01
STS_OBJID1_LOADPORT1.01,100102,ASCII,,,(E90-STS) [SUBSTLOC-1] Substrate Location ID (Identifier ID),759,SUBSTLOC,1,LOADPORT1.01
STS_SUBSTID2_LOADPORT1.02,100103,ASCII,,,(E90-STS) [SUBSTLOC-2] Substrate ID of the substrate at the substrate location,760,SUBSTLOC,2,LOADPORT1.02
STS_SUBSTLOCSTATE2_LOADPORT1.02,100104,UINT_1,,,(E90-STS) [SUBSTLOC-2] State of Substrate Location,761,SUBSTLOC,2,LOADPORT1.02
STS_OBJID2_LOADPORT1.02,100105,ASCII,,,(E90-STS) [SUBSTLOC-2] Substrate Location ID (Identifier ID),762,SUBSTLOC,2,LOADPORT1.02
STS_SUBSTID3_LOADPORT1.03,100106,ASCII,,,(E90-STS) [SUBSTLOC-3] Substrate ID of the substrate at the substrate location,763,SUBSTLOC,3,LOADPORT1.03
STS_SUBSTLOCSTATE3_LOADPORT1.03,100107,UINT_1,,,(E90-STS) [SUBSTLOC-3] State of Substrate Location,764,SUBSTLOC,3,LOADPORT1.03
STS_OBJID3_LOADPORT1.03,100108,ASCII,,,(E90-STS) [SUBSTLOC-3] Substrate Location ID (Identifier ID),765,SUBSTLOC,3,LOADPORT1.03
STS_SUBSTID4_LOADPORT1.04,100109,ASCII,,,(E90-STS) [SUBSTLOC-4] Substrate ID of the substrate at the substrate location,766,SUBSTLOC,4,LOADPORT1.04
STS_SUBSTLOCSTATE4_LOADPORT1.04,100110,UINT_1,,,(E90-STS) [SUBSTLOC-4] State of Substrate Location,767,SUBSTLOC,4,LOADPORT1.04
STS_OBJID4_LOADPORT1.04,100111,ASCII,,,(E90-STS) [SUBSTLOC-4] Substrate Location ID (Identifier ID),768,SUBSTLOC,4,LOADPORT1.04
STS_SUBSTID5_LOADPORT1.05,100112,ASCII,,,(E90-STS) [SUBSTLOC-5] Substrate ID of the substrate at the substrate location,769,SUBSTLOC,5,LOADPORT1.05
STS_SUBSTLOCSTATE5_LOADPORT1.05,100113,UINT_1,,,(E90-STS) [SUBSTLOC-5] State of Substrate Location,770,SUBSTLOC,5,LOADPORT1.05
STS_OBJID5_LOADPORT1.05,100114,ASCII,,,(E90-STS) [SUBSTLOC-5] Substrate Location ID (Identifier ID),771,SUBSTLOC,5,LOADPORT1.05
STS_SUBSTID6_LOADPORT1.06,100115,ASCII,,,(E90-STS) [SUBSTLOC-6] Substrate ID of the substrate at the substrate location,772,SUBSTLOC,6,LOADPORT1.06
STS_SUBSTLOCSTATE6_LOADPORT1.06,100116,UINT_1,,,(E90-STS) [SUBSTLOC-6] State of Substrate Location,773,SUBSTLOC,6,LOADPORT1.06
STS_OBJID6_LOADPORT1.06,100117,ASCII,,,(E90-STS) [SUBSTLOC-6] Substrate Location ID (Identifier ID),774,SUBSTLOC,6,LOADPORT1.06
STS_SUBSTID7_LOADPORT1.07,100118,ASCII,,,(E90-STS) [SUBSTLOC-7] Substrate ID of the substrate at the substrate location,775,SUBSTLOC,7,LOADPORT1.07
STS_SUBSTLOCSTATE7_LOADPORT1.07,100119,UINT_1,,,(E90-STS) [SUBSTLOC-7] State of Substrate Location,776,SUBSTLOC,7,LOADPORT1.07
STS_OBJID7_LOADPORT1.07,100120,ASCII,,,(E90-STS) [SUBSTLOC-7] Substrate Location ID (Identifier ID),777,SUBSTLOC,7,LOADPORT1.07
STS_SUBSTID8_LOADPORT1.08,100121,ASCII,,,(E90-STS) [SUBSTLOC-8] Substrate ID of the substrate at the substrate location,778,SUBSTLOC,8,LOADPORT1.08
STS_SUBSTLOCSTATE8_LOADPORT1.08,100122,UINT_1,,,(E90-STS) [SUBSTLOC-8] State of Substrate Location,779,SUBSTLOC,8,LOADPORT1.08
STS_OBJID8_LOADPORT1.08,100123,ASCII,,,(E90-STS) [SUBSTLOC-8] Substrate Location ID (Identifier ID),780,SUBSTLOC,8,LOADPORT1.08
STS_SUBSTID9_LOADPORT1.09,100124,ASCII,,,(E90-STS) [SUBSTLOC-9] Substrate ID of the substrate at the substrate location,781,SUBSTLOC,9,LOADPORT1.09
STS_SUBSTLOCSTATE9_LOADPORT1.09,100125,UINT_1,,,(E90-STS) [SUBSTLOC-9] State of Substrate Location,782,SUBSTLOC,9,LOADPORT1.09
STS_OBJID9_LOADPORT1.09,100126,ASCII,,,(E90-STS) [SUBSTLOC-9] Substrate Location ID (Identifier ID),783,SUBSTLOC,9,LOADPORT1.09
STS_SUBSTID10_LOADPORT1.10,100127,ASCII,,,(E90-STS) [SUBSTLOC-10] Substrate ID of the substrate at the substrate location,784,SUBSTLOC,10,LOADPORT1.10
STS_SUBSTLOCSTATE10_LOADPORT1.10,100128,UINT_1,,,(E90-STS) [SUBSTLOC-10] State of Substrate Location,785,SUBSTLOC,10,LOADPORT1.10
STS_OBJID10_LOADPORT1.10,100129,ASCII,,,(E90-STS) [SUBSTLOC-10] Substrate Location ID (Identifier ID),786,SUBSTLOC,10,LOADPORT1.10
STS_SUBSTID11_LOADPORT1.11,100130,ASCII,,,(E90-STS) [SUBSTLOC-11] Substrate ID of the substrate at the substrate location,787,SUBSTLOC,11,LOADPORT1.11
STS_SUBSTLOCSTATE11_LOADPORT1.11,100131,UINT_1,,,(E90-STS) [SUBSTLOC-11] State of Substrate Location,788,SUBSTLOC,11,LOADPORT1.11
STS_OBJID11_LOADPORT1.11,100132,ASCII,,,(E90-STS) [SUBSTLOC-11] Substrate Location ID (Identifier ID),789,SUBSTLOC,11,LOADPORT1.11
STS_SUBSTID12_LOADPORT1.12,100133,ASCII,,,(E90-STS) [SUBSTLOC-12] Substrate ID of the substrate at the substrate location,790,SUBSTLOC,12,LOADPORT1.12
STS_SUBSTLOCSTATE12_LOADPORT1.12,100134,UINT_1,,,(E90-STS) [SUBSTLOC-12] State of Substrate Location,791,SUBSTLOC,12,LOADPORT1.12
STS_OBJID12_LOADPORT1.12,100135,ASCII,,,(E90-STS) [SUBSTLOC-12] Substrate Location ID (Identifier ID),792,SUBSTLOC,12,LOADPORT1.12
STS_SUBSTID13_LOADPORT1.13,100136,ASCII,,,(E90-STS) [SUBSTLOC-13] Substrate ID of the substrate at the substrate location,793,SUBSTLOC,13,LOADPORT1.13
